,m,m_unit,p,p_unit,h,h_unit,T,T_unit,Td_bp,Td_bp_unit,Td_dew,Td_dew_unit,v,v_unit,vol,vol_unit,x,x_unit,s,s_unit,phase,Water,N2,Ar,CH4,H2O,O2,CO2,water
condenser_recycle,10.804964417163768,kg / s,0.12,bar,206.91058325515644,kJ / kg,49.4186551703919,C,0.0,K,0.0,K,0.010933345031988874,m^3 / s,0.0010118816323560651,m^3 / kg,0.0,-,696.2795805187926,J / kgK,tp,,,,,,,,1.0
cooling_water_in,208.01362330419448,kg / s,3.0,bar,63.2670213464866,kJ / kg,14.999999999954127,C,-118.52242046098888,K,118.52242046098888,K,0.20818113314478134,m^3 / s,0.0010008052830287077,m^3 / kg,0.0,-,224.41829280752196,J / kgK,l,1.0,,,,,,,
cooling_water_out,208.01362330419448,kg / s,2.95,bar,178.89482532063687,kJ / kg,42.65773475434372,C,-90.2924866468939,K,90.2924866468939,K,0.20984798518757516,m^3 / s,0.0010088184699359722,m^3 / kg,0.0,-,607.6086868627349,J / kgK,l,1.0,,,,,,,
drain_liquid_deaerator,0.056,kg / s,1.5088313427952622,bar,2693.371648778261,kJ / kg,111.52563705645207,C,0.0,K,0.0,K,0.06456442508903519,m^3 / s,1.1529361623041998,m^3 / kg,0.9999999984395993,-,7221.016917699308,J / kgK,tp,,,,,,,,1.0
drain_liquid_tank1,0.225,kg / s,48.2,bar,1143.222953281921,kJ / kg,261.6590427164638,C,0.0,K,0.0,K,0.000288088897471391,m^3 / s,0.0012803950998728489,m^3 / kg,1.222077792593297e-16,-,2900.120391088508,J / kgK,tp,,,,,,,,1.0
drain_liquid_tank2,0.001,kg / s,9.0,bar,742.5619743767695,kJ / kg,175.3504500088257,C,0.0,K,0.0,K,1.1211816899526852e-06,m^3 / s,0.0011211816899526852,m^3 / kg,0.0,-,2094.048601056733,J / kgK,tp,,,,,,,,1.0
evaporate_tank1_vapour_out,11.56467293372042,kg / s,48.2,bar,2795.643495616481,kJ / kg,261.6590427164638,C,0.0,K,0.0,K,0.4741576861717828,m^3 / s,0.04100052711298283,m^3 / kg,1.0,-,5989.859737942839,J / kgK,tp,,,,,,,,1.0
evaporate_tank1_wator_in,11.78967293372042,kg / s,48.2,bar,1021.9826220255617,kJ / kg,236.68618005829427,C,-24.972862658169504,K,24.972862658169504,K,0.01438301092625271,m^3 / s,0.001219966915716119,m^3 / kg,0.0,-,2668.0117488964875,J / kgK,l,,,,,,,,1.0
evaporate_tank1_wator_out,117.8967293372042,kg / s,48.2,bar,1143.222953281921,kJ / kg,261.6590427164638,C,0.0,K,0.0,K,0.1509543945343918,m^3 / s,0.0012803950998728489,m^3 / kg,1.222077792593297e-16,-,2900.120391088508,J / kgK,tp,,,,,,,,1.0
evaporate_tank2_vapour_out,0.5202890357942243,kg / s,9.0,bar,2773.0334282618132,kJ / kg,175.3504500088257,C,0.0,K,0.0,K,0.11180326199904936,m^3 / s,0.2148868307946967,m^3 / kg,1.0,-,6621.2936770540655,J / kgK,tp,,,,,,,,1.0
evaporate_tank2_wator_in,0.5212890357942243,kg / s,9.0,bar,733.6664734942829,kJ / kg,173.32101349279435,C,-2.029436516031353,K,2.029436516031353,K,0.0005830594858230941,m^3 / s,0.0011184955864931205,m^3 / kg,0.0,-,2074.1697319981636,J / kgK,l,,,,,,,,1.0
evaporate_tank2_wator_out,5.212890357942242,kg / s,9.0,bar,742.5619743767695,kJ / kg,175.3504500088257,C,0.0,K,0.0,K,0.0058445972210557405,m^3 / s,0.0011211816899526852,m^3 / kg,0.0,-,2094.048601056733,J / kgK,tp,,,,,,,,1.0
evaporator1_gas_in,81.36689229050253,kg / s,0.975,bar,912.6614515402856,kJ / kg,493.97108447606706,C,0.0,K,0.0,K,186.5559739784889,m^3 / s,2.2927749693626245,m^3 / kg,0.0,-,7793.770166794576,J / kgK,,,0.7413126276127612,0.01266110538356232,0.0,0.041591751163332386,0.15323925670343103,0.05119518525868725,
evaporator1_gas_out,81.36689229050253,kg / s,0.975,bar,660.2358470374345,kJ / kg,266.65875755345076,C,0.0,K,0.0,K,131.27588525684726,m^3 / s,1.6133820717664338,m^3 / kg,0.0,-,7404.131110674262,J / kgK,,,0.7413126276127612,0.01266110538356232,0.0,0.041591751163332386,0.15323925670343103,0.05119518525868725,
